student_id,age,program,semester,gpa,attendance,assignments_completion,stress_level,sleep_hours,mental_wellbeing,productivity_score,distractions,career_clarity,skill_readiness,engagement_score,APS,WWS,PTMS,CRS,SRI,Risk_Category
S0025,22,B.Sc,3,7.92,77,93,3,4,4,9,9,9,7,87,81.30000000000001,52.0,50.0,80.0,67.39,Blue
S0026,18,B.Tech,1,6.82,69,51,3,6,7,4,8,2,1,97,65.0,67.0,30.0,15.0,46.0,Red
S0027,21,MBA,1,8.57,96,87,1,8,4,9,8,8,9,96,89.05000000000001,72.0,55.0,85.0,76.965,Blue
S0028,19,B.Sc,8,5.99,56,66,3,4,3,10,8,9,10,47,59.95,49.0,60.0,95.0,65.985,Blue
S0029,23,MBA,7,8.78,60,84,6,7,9,3,8,10,6,36,78.7,64.0,25.0,80.0,64.61,Yellow
S0030,22,MBA,7,7.9,69,83,8,5,8,8,7,10,5,69,76.80000000000001,47.0,55.0,75.0,64.54,Yellow
S0031,21,BCA,7,5.55,65,72,10,5,1,1,8,9,7,99,61.65,18.0,15.0,80.0,45.995,Red
S0032,18,B.Tech,7,6.99,53,79,6,5,7,9,8,10,5,94,66.65,52.0,55.0,75.0,62.745000000000005,Yellow
S0033,18,B.Sc,5,9.14,55,57,5,7,9,9,8,7,10,97,73.60000000000001,68.0,55.0,85.0,71.33,Blue
S0034,20,BCA,5,9.43,71,71,4,4,8,10,10,9,5,78,82.65,60.0,50.0,70.0,67.295,Blue
S0035,20,BCA,6,7.24,75,93,3,7,8,2,7,9,10,81,77.30000000000001,73.0,25.0,95.0,70.19,Blue
S0036,24,B.Sc,2,7.31,52,85,4,5,6,4,1,3,7,58,69.15,57.0,65.0,50.0,60.495000000000005,Yellow
S0037,19,MBA,3,9.41,90,54,7,8,4,8,4,4,10,50,84.85,48.0,70.0,70.0,68.955,Blue
S0038,21,BCA,3,7.82,91,62,1,6,8,7,4,2,7,38,78.80000000000001,78.0,65.0,45.0,67.39,Blue
S0039,21,MBA,7,5.16,63,78,7,7,3,1,5,10,3,76,60.300000000000004,42.0,30.0,65.0,50.84,Yellow
S0040,24,B.Tech,6,9.38,60,80,1,7,9,5,10,3,3,71,80.9,84.0,25.0,30.0,57.769999999999996,Yellow
S0041,23,MBA,8,6.19,67,96,2,4,2,7,6,5,10,80,70.25,50.0,55.0,75.0,63.325,Yellow
S0042,23,B.Tech,4,7.77,61,65,4,4,2,4,4,5,3,85,70.14999999999999,42.0,50.0,40.0,51.545,Yellow
S0043,24,MBA,2,5.79,72,91,1,7,7,1,2,6,6,80,68.75,78.0,45.0,60.0,64.125,Yellow
S0044,23,BCA,6,5.16,61,79,9,5,10,9,6,7,6,99,59.900000000000006,49.0,65.0,65.0,59.47,Yellow
S0045,20,BCA,2,6.5,62,65,6,6,4,5,8,7,3,49,64.1,46.0,35.0,50.0,50.23,Yellow
S0046,21,B.Tech,2,8.75,74,61,1,4,10,2,8,1,3,56,78.15,78.0,20.0,20.0,51.945,Yellow
S0047,24,B.Sc,2,6.33,94,66,1,5,8,8,7,2,8,67,73.05,75.0,55.0,50.0,64.16499999999999,Yellow
S0048,21,B.Tech,6,6.06,68,65,6,8,9,2,6,9,8,94,63.699999999999996,67.0,30.0,85.0,63.11,Yellow
S0049,18,B.Tech,7,6.02,95,61,4,4,7,3,2,10,7,83,70.8,57.0,55.0,85.0,67.74,Blue
S0050,20,MBA,3,7.47,85,57,4,5,5,10,7,2,10,53,74.25,54.0,65.0,60.0,63.775,Yellow
S0051,22,MBA,3,9.68,94,69,6,5,8,1,5,6,4,76,90.39999999999999,55.0,30.0,50.0,59.37,Yellow
S0052,20,B.Tech,7,7.2,57,52,7,6,4,2,6,1,4,92,63.49999999999999,42.0,30.0,25.0,41.8,Red
S0053,24,BCA,2,7.68,78,65,9,6,2,7,10,3,3,86,74.8,28.0,35.0,30.0,43.94,Red
S0054,22,MBA,4,9.13,81,79,10,8,6,10,8,2,5,84,85.75,42.0,60.0,35.0,56.974999999999994,Yellow
S0055,18,B.Sc,1,7.57,93,94,5,5,9,2,8,3,3,89,84.55,62.0,20.0,30.0,52.364999999999995,Yellow
S0056,24,MBA,6,5.89,67,72,9,5,1,6,3,5,8,91,63.949999999999996,22.0,65.0,65.0,53.935,Yellow
S0057,19,MBA,1,6.44,55,77,4,6,10,3,7,10,7,59,64.10000000000001,72.0,30.0,85.0,64.48,Yellow
S0058,21,B.Sc,8,6.49,67,89,10,4,7,4,1,6,3,51,70.35,33.0,65.0,45.0,53.605,Yellow
S0059,18,B.Tech,7,6.91,68,54,2,4,10,8,1,9,9,58,65.75,74.0,85.0,90.0,77.725,Blue
S0060,21,B.Sc,4,7.05,71,69,3,7,9,3,7,10,5,70,70.35,76.0,30.0,75.0,64.85499999999999,Yellow
S0061,23,B.Tech,6,8.84,86,89,1,6,10,10,10,4,9,71,87.8,84.0,50.0,65.0,73.59,Blue
S0062,19,B.Tech,7,6.68,81,93,6,7,9,6,9,7,7,94,76.30000000000001,64.0,35.0,70.0,63.39,Yellow
S0063,19,B.Tech,2,7.25,90,50,6,6,10,1,7,6,7,60,73.25,64.0,20.0,65.0,58.224999999999994,Yellow
S0064,18,B.Sc,3,8.0,52,79,1,8,3,7,10,2,6,59,71.4,69.0,35.0,40.0,55.67,Yellow
S0065,19,B.Tech,1,6.81,77,70,3,5,5,8,5,10,2,47,71.14999999999999,58.0,65.0,60.0,63.845,Yellow
S0066,22,BCA,5,9.02,59,69,5,8,8,8,8,8,9,46,76.6,68.0,50.0,85.0,71.22999999999999,Blue
S0067,19,B.Sc,5,7.82,84,55,3,6,8,3,2,7,6,67,75.3,70.0,55.0,65.0,67.34,Blue
S0068,21,BCA,4,6.41,78,71,10,5,4,10,9,7,8,43,69.64999999999999,27.0,55.0,75.0,57.394999999999996,Yellow
S0069,21,B.Tech,2,8.43,64,67,3,4,1,1,6,8,1,85,74.75,43.0,25.0,45.0,49.425,Red
S0070,24,MBA,8,7.53,82,57,10,4,1,9,9,1,5,51,73.65,15.0,50.0,30.0,43.345,Red
S0071,21,B.Tech,1,7.57,56,88,3,7,4,6,2,1,1,96,72.25,61.0,70.0,10.0,53.425,Yellow
S0072,24,BCA,2,7.31,61,81,5,6,6,9,3,8,10,85,71.05,56.0,80.0,90.0,73.815,Blue
S0073,21,BCA,1,7.39,98,82,5,6,8,7,8,4,8,48,82.75,62.0,45.0,60.0,64.325,Yellow
S0074,22,B.Sc,4,8.67,79,65,4,4,6,1,1,5,8,86,80.05,54.0,50.0,65.0,63.765,Yellow
S0075,24,MBA,4,5.49,70,61,1,8,9,1,10,8,1,73,60.650000000000006,87.0,5.0,45.0,52.195,Yellow
S0076,20,B.Sc,8,6.6,80,87,5,5,9,6,7,5,9,64,74.4,62.0,45.0,70.0,64.32,Yellow
S0077,23,BCA,5,5.36,73,83,10,8,2,5,7,10,2,30,65.30000000000001,30.0,40.0,60.0,50.09,Yellow
S0078,18,B.Tech,2,8.62,69,63,5,8,10,9,1,4,9,81,76.4,74.0,90.0,65.0,75.67,Blue
S0079,21,MBA,6,6.31,86,85,4,4,1,2,9,6,1,99,74.35,39.0,15.0,35.0,43.80499999999999,Red
S0080,19,B.Tech,5,9.31,53,82,6,4,2,8,8,5,10,66,78.85000000000001,34.0,50.0,75.0,60.905,Yellow
S0081,21,B.Tech,2,7.53,77,72,10,4,5,5,4,7,9,94,75.15,27.0,55.0,80.0,60.295,Yellow
S0082,19,MBA,5,8.84,93,99,4,7,4,2,10,10,4,80,91.89999999999999,57.0,10.0,70.0,61.31999999999999,Yellow
S0083,23,B.Sc,6,9.7,69,94,7,8,4,10,5,7,9,30,88.0,48.0,75.0,80.0,73.4,Blue
S0084,23,B.Tech,3,9.03,73,51,7,6,9,6,2,4,7,50,77.25,57.0,70.0,55.0,65.175,Blue
S0085,23,BCA,3,9.16,99,90,2,5,8,10,9,5,6,82,93.5,71.0,55.0,55.0,70.55,Blue
S0086,19,B.Tech,8,6.96,98,70,3,7,6,8,6,3,5,45,78.19999999999999,67.0,60.0,40.0,62.209999999999994,Yellow
S0087,21,MBA,3,7.65,81,51,1,6,1,4,3,4,9,90,72.75,57.0,55.0,65.0,63.325,Yellow
S0088,23,MBA,3,6.22,90,76,8,8,2,2,7,4,2,83,73.3,38.0,25.0,30.0,43.989999999999995,Red
S0089,22,MBA,7,5.94,85,58,9,4,6,5,9,3,2,69,66.80000000000001,34.0,30.0,25.0,40.790000000000006,Red
S0090,24,B.Sc,1,7.43,83,50,4,8,2,2,3,10,9,55,72.05,54.0,45.0,95.0,67.865,Blue
S0091,19,B.Tech,7,7.86,85,60,6,5,10,2,2,5,3,94,76.80000000000001,61.0,50.0,40.0,58.290000000000006,Yellow
S0092,19,B.Sc,7,6.63,51,52,9,7,5,6,7,5,8,93,58.849999999999994,40.0,45.0,65.0,52.905,Yellow
S0093,21,B.Sc,8,7.73,64,72,6,7,5,10,7,7,9,72,72.25000000000001,52.0,65.0,80.0,67.67500000000001,Blue
S0094,19,MBA,7,9.26,83,75,9,5,6,9,4,4,8,46,86.19999999999999,37.0,75.0,60.0,65.11,Blue
S0095,19,MBA,3,7.67,85,53,4,6,6,4,9,4,4,88,74.45,60.0,25.0,40.0,52.335,Yellow
S0096,23,B.Sc,6,8.46,55,67,8,6,6,6,8,9,1,52,72.2,44.0,40.0,50.0,53.16,Yellow
S0097,21,B.Tech,8,8.87,88,55,9,7,2,7,1,6,4,36,81.75,31.0,80.0,50.0,60.775,Yellow
S0098,23,BCA,8,9.75,91,84,4,7,10,6,1,4,9,73,92.85,75.0,75.0,65.0,77.85499999999999,Blue
S0099,24,B.Sc,4,7.9,61,71,5,4,3,8,5,2,2,82,72.0,41.0,65.0,20.0,49.849999999999994,Red
S0100,24,B.Tech,8,8.87,52,92,8,6,6,4,6,6,3,63,78.35,44.0,40.0,45.0,53.754999999999995,Yellow
S0101,23,MBA,4,9.62,94,64,10,5,8,1,3,2,10,75,89.1,39.0,40.0,60.0,59.48,Yellow
S0102,24,MBA,8,9.53,67,71,6,6,1,7,9,5,8,97,81.95,37.0,40.0,65.0,58.085,Yellow
S0103,21,B.Tech,1,5.68,89,86,7,4,1,3,10,6,6,45,72.3,27.0,15.0,60.0,46.44,Red
S0104,18,BCA,3,6.95,70,91,3,7,2,6,6,4,8,48,73.95,55.0,50.0,60.0,60.935,Yellow
S0105,23,MBA,8,6.56,64,61,7,7,6,2,4,3,7,31,64.2,51.0,40.0,50.0,52.510000000000005,Yellow
S0106,22,MBA,3,5.42,82,96,8,4,9,9,7,7,5,39,70.9,47.0,60.0,60.0,60.019999999999996,Yellow
S0107,22,MBA,3,8.04,84,98,10,5,4,1,8,2,9,79,85.0,27.0,15.0,55.0,49.0,Red
S0108,19,B.Tech,5,8.53,75,91,6,7,3,6,9,6,4,41,83.35000000000001,46.0,35.0,50.0,56.005,Yellow
S0109,24,B.Sc,8,9.07,57,87,10,8,8,6,6,4,6,99,79.85000000000001,48.0,50.0,50.0,58.455,Yellow
S0110,22,MBA,2,5.59,85,67,9,7,10,5,6,6,2,51,66.85000000000001,55.0,45.0,40.0,52.80500000000001,Yellow
S0111,19,B.Sc,5,9.21,97,94,6,8,9,5,8,4,2,61,93.95,67.0,35.0,30.0,59.435,Yellow
S0112,18,BCA,2,8.09,79,84,9,4,5,1,5,4,2,30,80.95,31.0,30.0,30.0,45.535,Red
S0113,21,MBA,3,8.38,72,79,4,4,9,10,3,4,10,83,79.3,63.0,85.0,70.0,74.03999999999999,Blue
S0114,21,MBA,3,9.37,91,73,8,7,2,5,3,9,7,87,88.75,35.0,60.0,80.0,67.375,Blue
S0115,21,BCA,5,8.0,93,91,4,6,3,2,6,7,2,99,86.10000000000001,51.0,30.0,45.0,55.83,Yellow
S0116,22,MBA,5,6.61,63,79,2,8,7,7,2,3,2,47,67.75,77.0,75.0,25.0,60.825,Yellow
S0117,18,B.Sc,2,8.96,63,63,10,5,7,3,6,3,9,35,76.30000000000001,36.0,35.0,60.0,53.89,Yellow
S0118,22,B.Tech,4,6.74,51,55,9,7,6,4,6,6,7,74,60.0,43.0,40.0,65.0,53.0,Yellow
S0119,24,B.Sc,2,5.16,86,52,5,5,6,3,8,6,3,52,62.0,53.0,25.0,45.0,48.099999999999994,Red
S0120,22,B.Tech,5,8.99,54,65,4,7,2,3,7,4,3,52,74.15,51.0,30.0,35.0,49.745000000000005,Red
S0121,18,B.Tech,6,6.66,87,56,2,6,10,4,8,9,7,55,70.6,80.0,30.0,80.0,67.17999999999999,Blue
S0122,18,B.Sc,5,8.71,94,63,1,6,6,5,9,4,5,36,84.35,72.0,30.0,45.0,60.55499999999999,Yellow
S0123,24,B.Sc,6,6.74,90,58,7,6,4,1,6,9,10,73,72.30000000000001,42.0,25.0,95.0,60.94,Yellow
S0124,18,B.Sc,1,9.13,96,64,6,6,3,4,3,4,6,56,87.25,43.0,55.0,50.0,60.425,Yellow
S0125,18,B.Sc,5,6.05,63,70,2,4,2,8,10,2,8,55,63.15,50.0,40.0,50.0,51.945,Yellow
S0126,21,BCA,1,9.68,88,84,8,4,1,10,3,2,9,65,91.6,23.0,85.0,55.0,63.98,Yellow
S0127,24,MBA,4,8.74,74,51,4,8,5,7,1,5,1,84,76.10000000000001,63.0,80.0,30.0,62.08,Yellow
S0128,20,B.Tech,2,5.55,69,76,8,5,2,9,5,4,3,93,63.650000000000006,29.0,70.0,35.0,49.095,Red
S0129,20,B.Sc,6,7.72,51,51,7,7,2,5,4,7,7,86,64.1,39.0,55.0,70.0,57.48,Yellow
S0130,18,B.Sc,2,9.73,88,84,5,7,7,10,9,5,6,98,91.85000000000001,62.0,55.0,55.0,67.805,Blue
S0131,20,B.Sc,1,7.26,55,67,10,4,8,4,9,6,7,90,66.2,36.0,25.0,65.0,50.11,Yellow
S0132,20,BCA,6,5.87,66,63,10,7,10,8,5,10,8,31,61.75000000000001,51.0,65.0,90.0,66.775,Blue
S0133,18,B.Sc,2,7.33,74,69,8,4,8,9,10,4,6,84,72.64999999999999,44.0,45.0,50.0,54.295,Yellow
S0134,20,B.Sc,5,7.46,77,67,9,8,4,7,4,2,3,67,73.8,40.0,65.0,25.0,51.39,Yellow
S0135,22,B.Sc,3,8.56,51,59,5,5,1,7,7,10,2,58,69.9,38.0,50.0,60.0,55.47,Yellow
S0136,19,MBA,1,8.35,84,74,10,8,7,5,6,9,7,55,81.75,45.0,45.0,80.0,64.775,Yellow
S0137,24,BCA,2,6.93,86,51,5,6,1,4,4,10,1,64,70.65,41.0,50.0,55.0,55.195,Yellow
S0138,19,B.Sc,1,6.05,54,74,2,6,4,10,10,7,3,96,61.25,62.0,50.0,50.0,56.375,Yellow
S0139,18,B.Tech,7,8.1,50,82,5,6,8,1,2,4,4,58,71.9,62.0,45.0,40.0,56.07,Yellow
S0140,21,B.Tech,1,7.02,89,85,3,8,2,10,1,3,1,63,78.8,58.0,95.0,20.0,62.14,Yellow
S0141,24,B.Tech,6,5.63,61,80,7,7,6,10,4,10,5,70,62.45,51.0,80.0,75.0,66.235,Blue
S0142,18,BCA,7,9.32,85,63,10,5,6,7,4,3,10,70,84.69999999999999,33.0,65.0,65.0,62.91,Yellow
S0143,21,BCA,8,8.32,94,50,5,6,9,1,1,9,3,52,79.8,65.0,50.0,60.0,65.19,Blue
S0144,19,B.Tech,6,8.28,72,95,8,6,5,1,6,5,2,32,82.0,41.0,25.0,35.0,48.599999999999994,Red
S0145,18,B.Sc,3,8.95,96,65,1,6,10,5,4,3,3,87,86.55,84.0,55.0,30.0,65.465,Blue
S0146,24,BCA,7,7.54,80,95,3,5,4,9,1,5,8,61,80.7,55.0,90.0,65.0,72.21000000000001,Blue
S0147,24,B.Tech,8,8.91,60,52,3,6,5,6,1,2,6,60,72.95,61.0,75.0,40.0,62.135000000000005,Yellow
S0148,23,B.Tech,5,7.39,59,84,9,5,10,3,1,4,7,72,71.44999999999999,49.0,60.0,55.0,59.434999999999995,Yellow
S0149,22,B.Sc,1,5.32,52,90,5,6,5,3,8,10,6,36,60.2,53.0,25.0,80.0,56.31,Yellow
S0150,20,MBA,2,6.95,63,55,9,8,8,7,10,2,6,30,64.65,52.0,35.0,40.0,49.394999999999996,Red
S0151,21,BCA,4,7.39,65,74,9,8,10,6,8,2,3,90,71.25,58.0,40.0,25.0,50.125,Yellow
S0152,23,B.Sc,1,8.46,59,62,1,5,8,9,2,8,8,43,72.4,75.0,85.0,80.0,77.47,Blue
S0153,20,B.Tech,8,5.51,78,83,2,8,2,6,7,1,7,81,67.55,62.0,45.0,40.0,54.765,Yellow
S0154,20,B.Tech,1,5.67,59,57,5,5,7,5,8,7,7,35,57.449999999999996,56.0,35.0,70.0,55.735,Yellow
S0155,18,B.Sc,3,6.27,61,70,4,8,8,10,8,5,6,39,63.65,72.0,60.0,55.0,62.845,Yellow
S0156,20,BCA,5,6.28,79,83,10,8,6,7,10,8,5,59,71.7,42.0,35.0,65.0,55.260000000000005,Yellow
S0157,22,MBA,4,8.51,90,53,9,5,5,1,7,1,10,50,80.15,34.0,20.0,55.0,50.295,Yellow
S0158,24,MBA,7,6.2,50,74,7,7,9,7,5,7,8,89,60.8,60.0,60.0,75.0,63.989999999999995,Yellow
S0159,23,B.Tech,7,8.04,54,64,6,8,3,3,1,5,5,92,69.19999999999999,49.0,60.0,50.0,57.50999999999999,Yellow
S0160,20,BCA,7,7.37,69,53,7,6,10,9,9,4,9,71,68.15,60.0,50.0,65.0,61.695,Yellow
S0161,18,MBA,8,7.75,57,94,1,7,4,6,7,7,9,80,74.64999999999999,69.0,45.0,80.0,68.645,Blue
S0162,22,BCA,6,9.02,92,61,1,5,9,9,2,10,1,93,84.89999999999999,78.0,85.0,55.0,75.72,Blue
S0163,19,BCA,6,6.94,61,81,8,7,6,5,6,2,6,85,69.2,47.0,45.0,40.0,51.510000000000005,Yellow
S0164,24,B.Tech,2,8.7,50,81,2,4,8,7,2,1,7,70,74.7,68.0,75.0,40.0,64.41,Yellow
S0165,24,MBA,4,7.03,69,77,10,4,7,4,1,1,3,61,71.25,33.0,65.0,20.0,47.625,Red
S0166,23,B.Sc,7,6.7,77,62,9,8,2,7,7,1,7,44,69.0,34.0,50.0,40.0,49.2,Red
S0167,24,B.Tech,6,9.6,92,80,7,8,3,1,2,5,7,91,91.6,45.0,45.0,60.0,62.73,Yellow
S0168,20,MBA,8,5.88,86,63,6,6,1,7,2,10,2,56,67.80000000000001,37.0,75.0,60.0,59.59,Yellow
S0169,18,MBA,2,5.43,96,69,1,7,9,8,5,7,7,57,69.75,84.0,65.0,70.0,72.425,Blue
S0170,24,MBA,5,8.7,86,67,1,4,7,5,5,2,1,93,82.7,69.0,50.0,15.0,55.81,Yellow
S0171,24,MBA,2,5.33,61,78,2,8,1,2,7,10,5,88,60.550000000000004,59.0,25.0,75.0,56.665,Yellow
S0172,19,MBA,6,9.02,86,55,6,7,3,5,1,8,9,87,81.89999999999999,46.0,70.0,85.0,71.32,Blue
S0173,19,BCA,3,7.1,98,81,6,8,4,6,8,4,7,31,81.10000000000001,52.0,40.0,55.0,59.08,Yellow
S0174,21,B.Tech,8,9.39,98,78,2,8,4,2,3,3,7,65,91.94999999999999,68.0,45.0,50.0,66.085,Blue
S0175,22,BCA,3,8.46,93,92,1,4,5,6,4,10,2,42,88.60000000000001,63.0,60.0,60.0,69.33,Blue
S0176,20,B.Sc,7,7.93,77,51,10,4,3,6,9,8,8,44,72.95,21.0,35.0,80.0,54.135000000000005,Yellow
S0177,24,MBA,3,9.56,96,72,5,8,3,1,4,2,3,89,91.0,53.0,35.0,25.0,53.8,Yellow
S0178,24,B.Tech,7,6.9,64,68,5,5,1,1,10,3,8,51,67.30000000000001,38.0,5.0,55.0,44.44,Red
S0179,18,MBA,7,9.58,55,80,2,8,7,10,5,3,3,92,80.4,77.0,75.0,30.0,65.87,Blue
S0180,21,B.Tech,6,5.65,93,54,6,8,10,3,7,10,10,54,66.95,70.0,30.0,100.0,68.58500000000001,Blue
S0181,22,BCA,3,7.32,69,68,9,6,1,10,4,1,7,77,70.9,25.0,80.0,40.0,53.519999999999996,Yellow
S0182,21,B.Tech,7,6.3,99,83,2,6,2,10,1,6,2,72,77.80000000000001,56.0,95.0,40.0,66.34,Blue
S0183,23,B.Sc,4,7.59,63,59,10,6,4,3,9,2,4,67,68.65,30.0,20.0,30.0,39.595,Red
S0184,22,B.Sc,5,5.78,51,74,2,5,4,4,4,1,6,70,59.0,59.0,50.0,35.0,51.2,Yellow
S0185,24,B.Tech,2,9.04,58,51,3,5,5,2,9,2,9,74,72.8,58.0,15.0,55.0,53.09,Yellow
S0186,24,B.Tech,2,9.06,86,60,7,8,2,9,6,6,5,69,83.10000000000001,42.0,65.0,55.0,62.18000000000001,Yellow
S0187,22,B.Tech,6,9.59,69,99,6,6,4,10,1,4,9,46,88.45,46.0,95.0,65.0,73.285,Blue
S0188,24,B.Tech,3,5.74,75,80,8,5,1,7,3,6,5,86,67.2,26.0,70.0,55.0,54.41,Yellow
S0189,20,B.Sc,3,7.99,78,64,8,4,2,7,2,9,10,31,76.15,26.0,75.0,95.0,68.095,Blue
S0190,22,MBA,7,7.28,50,58,6,8,1,6,9,10,8,91,63.0,43.0,35.0,90.0,59.15,Yellow
S0191,21,B.Tech,8,6.65,84,72,10,7,10,3,1,10,1,38,72.85000000000001,51.0,60.0,55.0,60.355000000000004,Yellow
S0192,22,B.Tech,1,6.69,55,68,3,8,10,6,9,8,7,97,63.550000000000004,82.0,35.0,75.0,65.315,Blue
S0193,24,B.Sc,7,6.98,86,58,3,7,4,8,9,1,4,46,72.30000000000001,61.0,45.0,25.0,52.19,Yellow
S0194,20,B.Sc,5,8.38,54,84,1,6,4,8,8,8,5,79,74.9,66.0,50.0,65.0,65.22,Blue
S0195,20,BCA,4,7.87,82,70,7,7,7,9,8,9,6,69,77.95,54.0,55.0,75.0,66.635,Blue
S0196,23,B.Tech,2,7.21,98,58,5,6,10,1,1,6,5,87,77.04999999999998,68.0,50.0,55.0,63.864999999999995,Yellow
S0197,21,BCA,7,5.36,63,77,4,4,9,1,8,10,1,50,61.1,63.0,15.0,55.0,50.83,Yellow
S0198,19,B.Sc,1,5.37,61,95,10,7,9,3,10,5,9,47,64.15,48.0,15.0,70.0,51.745000000000005,Yellow
S0199,19,B.Sc,1,5.01,91,56,4,8,5,3,3,6,2,84,63.55,63.0,50.0,40.0,54.815,Yellow
S0200,22,MBA,7,9.64,69,65,4,6,10,10,7,6,9,58,81.9,72.0,65.0,75.0,74.32,Blue
S0201,23,B.Tech,6,5.03,99,65,6,8,1,8,1,9,10,53,67.85,43.0,85.0,95.0,71.85499999999999,Blue
S0202,18,BCA,2,5.49,73,82,8,5,1,10,1,4,2,46,65.75,26.0,95.0,30.0,52.724999999999994,Yellow
S0203,22,B.Sc,6,6.51,92,53,8,6,6,1,10,2,9,47,70.75,44.0,5.0,55.0,46.974999999999994,Red
S0204,23,B.Sc,4,8.88,83,53,5,7,2,2,5,9,6,71,79.9,47.0,35.0,75.0,61.47,Yellow
S0205,21,BCA,1,9.62,74,88,6,6,8,2,5,2,9,74,87.9,58.0,35.0,55.0,61.620000000000005,Yellow
S0206,21,MBA,1,8.79,99,89,4,8,9,3,8,10,6,46,91.44999999999999,75.0,25.0,80.0,71.185,Blue
S0207,21,B.Sc,5,8.31,78,66,9,4,4,6,7,9,6,43,78.15,28.0,45.0,75.0,58.195,Yellow
S0208,21,B.Tech,4,7.5,88,86,8,6,5,1,8,2,2,78,81.1,41.0,15.0,20.0,42.58,Red
S0209,21,B.Sc,1,5.42,80,88,10,7,8,2,6,8,8,58,68.7,45.0,30.0,80.0,57.86,Yellow
S0210,23,B.Tech,4,9.6,96,78,10,5,3,1,6,9,3,33,92.4,24.0,25.0,60.0,53.72,Yellow
S0211,23,BCA,2,8.64,92,85,1,4,5,5,2,10,7,49,87.8,63.0,65.0,85.0,76.34,Blue
S0212,20,B.Tech,3,8.07,99,87,2,5,3,7,6,9,5,76,87.45,56.0,55.0,70.0,68.735,Blue
S0213,19,BCA,1,8.64,72,88,9,6,10,8,5,10,3,38,82.4,52.0,65.0,65.0,66.97,Blue
S0214,24,B.Tech,5,8.48,93,99,8,8,3,10,3,9,1,56,90.10000000000001,41.0,85.0,50.0,66.78,Blue
S0215,21,BCA,2,8.06,87,86,3,8,3,1,6,2,8,44,83.60000000000001,61.0,25.0,50.0,57.83,Yellow
S0216,18,B.Tech,7,9.71,69,84,8,7,7,7,8,4,3,48,86.05,50.0,45.0,35.0,56.065,Yellow
